,OOB Score,Recall Score,Kappa Score
0,0.8189655172413793,1.0,1.0
1,0.8103448275862069,1.0,1.0
2,0.8448275862068966,1.0,1.0
3,0.8189655172413793,1.0,1.0
4,0.8275862068965517,1.0,1.0
5,0.8103448275862069,1.0,1.0
6,0.8103448275862069,1.0,1.0
7,0.8275862068965517,1.0,1.0
8,0.8275862068965517,1.0,1.0
9,0.8103448275862069,1.0,1.0
10,0.8189655172413793,1.0,1.0
11,0.8103448275862069,1.0,1.0
12,0.8275862068965517,1.0,1.0
13,0.8275862068965517,1.0,1.0
14,0.8362068965517241,1.0,1.0
15,0.8275862068965517,1.0,1.0
16,0.8189655172413793,1.0,1.0
17,0.8275862068965517,1.0,1.0
18,0.8275862068965517,1.0,1.0
19,0.8275862068965517,1.0,1.0
20,0.8362068965517241,1.0,1.0
21,0.8189655172413793,1.0,1.0
22,0.8189655172413793,1.0,1.0
23,0.8189655172413793,1.0,1.0
24,0.8189655172413793,1.0,1.0
