,OOB Score,Recall Score,Kappa Score
0,0.5517241379310345,1.0,1.0
1,0.5862068965517241,1.0,1.0
2,0.5775862068965517,1.0,1.0
3,0.646551724137931,1.0,1.0
4,0.5431034482758621,1.0,1.0
5,0.5948275862068966,1.0,1.0
6,0.603448275862069,1.0,1.0
7,0.5689655172413793,1.0,1.0
8,0.5,1.0,1.0
9,0.5603448275862069,1.0,1.0
10,0.5689655172413793,1.0,1.0
11,0.5603448275862069,1.0,1.0
12,0.6120689655172413,1.0,1.0
13,0.5086206896551724,1.0,1.0
14,0.5862068965517241,1.0,1.0
15,0.5862068965517241,1.0,1.0
16,0.7155172413793104,1.0,1.0
17,0.6551724137931034,1.0,1.0
18,0.7068965517241379,1.0,1.0
19,0.5862068965517241,1.0,1.0
20,0.5603448275862069,1.0,1.0
21,0.6293103448275862,1.0,1.0
22,0.6810344827586207,1.0,1.0
23,0.6896551724137931,1.0,1.0
24,0.6206896551724138,1.0,1.0
