,OOB Score,Recall Score,Kappa Score
0,0.6153846153846154,1.0,1.0
1,0.5076923076923077,1.0,1.0
2,0.46153846153846156,1.0,1.0
3,0.5846153846153846,1.0,1.0
4,0.5692307692307692,1.0,1.0
5,0.5076923076923077,1.0,1.0
6,0.5846153846153846,1.0,1.0
7,0.6153846153846154,1.0,1.0
8,0.4153846153846154,1.0,1.0
9,0.5384615384615384,1.0,1.0
10,0.4153846153846154,1.0,1.0
11,0.4,1.0,1.0
12,0.5846153846153846,1.0,1.0
13,0.46153846153846156,1.0,1.0
14,0.35384615384615387,1.0,1.0
15,0.6307692307692307,1.0,1.0
16,0.5076923076923077,1.0,1.0
17,0.7076923076923077,1.0,1.0
18,0.6,1.0,1.0
19,0.49230769230769234,1.0,1.0
20,0.4461538461538462,1.0,1.0
21,0.5230769230769231,1.0,1.0
22,0.46153846153846156,1.0,1.0
23,0.4307692307692308,1.0,1.0
24,0.4307692307692308,1.0,1.0
